,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12590,54,,B3,140-22 173RD STREET,,11434,2,0,2,"2,435",983,1930,1,B3,"952,000",01/30/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12591,248,,B2,142-02 174TH STREET,,11434,2,0,2,"1,960","2,000",2005,1,B2,"50,000",10/25/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12592,317,,B2,174-27 142ND AVENUE,,11434,2,0,2,"2,650","2,524",2007,1,B2,"970,000",05/18/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12594,116,,B3,170-16 143RD ROAD,,11434,2,0,2,"3,150","2,291",1935,1,B3,"1,200,000",01/27/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12670,37,,B3,191-15 120TH ROAD,,11412,2,0,2,"4,000","1,624",1945,1,B3,10,06/26/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12671,10,,B2,19122 120TH ROAD,,11412,2,0,2,"4,500","1,166",1955,1,B2,0,09/24/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12674,37,,B2,121-28 193 STREET,,11413,2,0,2,"4,000","1,099",1955,1,B2,0,01/20/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12675,32,,B2,120-54 194TH STREET,,11412,2,0,2,"5,000","1,099",1955,1,B2,"875,500",01/30/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12678,69,,B3,120-27 194TH STREET,,11412,2,0,2,"3,342","1,238",1935,1,B3,0,03/26/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12678,90,,B3,194-09 122ND AVENUE,,11413,2,0,2,"4,240","1,262",1915,1,B3,"583,000",03/12/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12679,37,,B2,121-10 196TH STREET,,11413,2,0,2,"4,300","1,099",1950,1,B2,"935,000",08/26/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12682,67,,B2,120-15 196 STREET,,11412,2,0,2,"2,742","1,724",2004,1,B2,"800,000",11/19/2025
