,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1990,46,,B9,181 PUTNAM AVENUE,,11216,2,0,2,"2,967","2,812",1899,1,B9,0,01/12/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1995,113,,B2,116 PUTNAM AVENUE,,11238,2,0,2,"2,000","2,580",1997,1,B2,0,02/27/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1999,13,,B3,20 HANCOCK STREET,,11216,2,0,2,"2,228","3,933",1899,1,B3,"1,250,000",02/25/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,2A,2016,2,,C3,579 CLASSON AVENUE,,11238,4,0,4,"2,068","2,940",1910,1,B3,"2,200,000",08/26/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,2016,85,,B1,141 LEFFERTS PLACE,,11238,2,0,2,"1,800","3,600",1931,1,B1,"3,900,000",01/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,2020,44,,B1,214 LEFFERTS PLACE,,11238,2,0,2,"3,930","2,584",1910,1,B1,0,05/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1586,49,,C0,377 VERNON AVENUE,,11206,3,0,3,"2,000","4,000",1899,1,C0,0,04/14/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1589,52,,C0,831 WILLOUGHBY AVE,,11206,3,0,3,"2,500","3,600",2004,1,C0,"1,975,000",09/18/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1593,13,,C0,858 WILLOUGHBY AVENUE,,11221,3,0,3,"1,890","3,375",2004,1,C0,0,09/09/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1594,132,,C0,330 HART STREET,,11206,3,0,3,"2,020","3,124",2004,1,C0,0,12/23/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1601,51,,C0,407 KOSCIUSZKO ST,,11221,3,0,3,"1,875","3,207",2004,1,C0,0,09/29/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1601,67,,C0,377 KOSCIUSZKO STREET,,11221,3,0,3,"1,579","2,598",1899,1,C0,"1,200,000",09/09/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1602,115,,C0,976 DEKALB AVE,,11221,3,0,3,"2,000","3,216",2006,1,C0,10,02/12/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1605,56,,C0,867 LAFAYETTE AVENUE,,11221,3,0,3,"1,875","3,376",1899,1,C0,"1,900,000",02/26/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1609,42,,C0,894 LAFAYETTE AVENUE,,11221,3,0,3,"1,950","3,512",1899,1,C0,0,06/22/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1610,59,,C0,313 VAN BUREN STREET,,11221,3,0,3,"1,700","2,125",1931,1,C0,"1,429,000",06/16/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1614,26,,C0,218 VAN BUREN STREET,,11221,3,0,3,"1,900","3,420",1899,1,C0,0,08/27/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1617,46,,C0,981 GREENE AVENUE,,11221,3,0,3,"1,472","2,430",1899,1,C0,0,01/09/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1617,81,,C0,925 GREENE AVENUE,,11221,3,0,3,"1,440","2,160",1899,1,C0,0,03/27/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1619,31,,C0,770A GREENE AVE,,11221,3,0,3,"1,925","3,852",1931,1,C0,"1,724,000",06/10/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1620,35,,C0,840 GREENE AVENUE,,11221,3,0,3,"3,033","2,520",1899,1,C0,"1,908,000",11/12/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1620,50,,C0,166 STUYVESANT AVENUE,,11221,3,0,3,"1,950","4,130",2005,1,C0,"10,000",03/12/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1621,7,,C0,145 STUYVESANT AVENUE,,11221,3,0,3,"1,500","3,600",1899,1,C0,"2,900,000",04/22/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1622,39,,C0,990 GREENE AVENUE,,11221,3,0,3,"2,500","3,375",1899,1,C0,0,01/16/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1623,22,,C0,1030 GREENE AVENUE,,11221,3,0,3,"2,133","2,646",1931,1,C0,"1,450,000",01/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1624,69,,C0,539 QUINCY STREET,,11221,3,0,3,"1,667","2,515",2005,1,C0,"1,650,000",09/30/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1627,65,,C0,751 QUINCY STREET,,11221,3,0,3,"2,000","3,360",1899,1,C0,0,06/15/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1628,59,,C0,821A QUINCY STREET,,11221,3,0,3,"2,000","3,300",1899,1,C0,"1,750,000",11/17/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1628,60,,C0,821 QUINCY STREET,,11221,3,0,3,"2,000","3,300",1899,1,C0,"1,770,000",11/17/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1629,9,,C0,554A QUINCY STREET,,11221,3,0,3,"1,900","3,420",1901,1,C0,0,08/15/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1629,26,,C0,580A QUINCY STREET,,11221,3,0,3,"2,033","2,439",1899,1,C0,0,05/07/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1632,17,,C0,766 QUINCY STREET,,11221,3,0,3,"1,800","3,024",1899,1,C0,"700,000",02/11/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1632,47,,C0,951 GATES AVENUE,,11221,3,0,3,"2,500","3,882",2008,1,C0,0,02/06/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1633,8,,C0,818 QUINCY STREET,,11221,3,0,3,"2,000","3,000",1899,1,C0,0,12/19/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1633,8,,C0,818 QUINCY STREET,,11221,3,0,3,"2,000","3,000",1899,1,C0,"1,225,000",02/13/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1634,49,,C0,521 MONROE STREET,,11221,3,0,3,"1,900","3,040",1899,1,C0,"2,800,000",05/29/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1639,33,,C0,532 MONROE STREET,,11221,3,0,3,"2,000","3,200",1905,1,C0,"2,385,000",10/31/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1639,67,,B1,497 MADISON STREET,,11221,2,0,2,"2,000","3,360",1931,1,C0,"2,375,000",08/13/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1640,58,,C0,599 MADISON STREET,,11221,3,0,3,"2,000","3,600",1899,1,C0,0,01/12/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1641,26,,C0,638 MONROE STREET,,11221,3,0,3,"1,733","2,079",1899,1,C0,"1,755,000",08/21/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1641,27,,C0,640 MONROE ST,,11221,3,0,3,"1,750","2,205",1899,1,C0,"1,445,000",11/10/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1644,7,,C0,496 MADISON STREET,,11221,3,0,3,"1,900","3,192",1901,1,C0,10,06/29/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1645,62,,C0,679 PUTNAM AVENUE,,11221,3,0,3,"2,000","3,600",1899,1,C0,"4,152,671",06/18/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1650,27,,C0,706 PUTNAM AVENUE,,11221,3,0,3,"2,000","3,728",1899,1,C0,0,05/18/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1652,12,,C0,814 PUTNAM AVENUE,,11221,3,0,3,"1,950","2,640",1899,1,C0,0,11/28/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1653,6,,C0,149 PATCHEN AVENUE,,11221,3,0,3,"1,600","2,628",1899,1,C0,"1,490,000",12/10/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1653,7,,C0,147 PATCHEN AVENUE,,11221,3,0,3,"1,600","2,628",1899,1,C0,"1,310,000",06/29/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1655,79,,C0,521 HANCOCK STREET,,11233,3,0,3,"1,908","3,280",1899,1,C0,0,10/08/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1657,3,,C0,227A MALCOLM X BOULEVARD,,11221,3,0,3,"1,900","2,937",2007,1,C0,0,03/06/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1657,3,,C0,227A MALCOLM X BOULEVARD,,11221,3,0,3,"1,900","2,937",2007,1,C0,0,04/16/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1658,50,,C0,116 RALPH AVENUE,,11221,3,0,3,"1,300","2,127",1927,1,C0,0,08/30/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1658,50,,C0,116 RALPH AVENUE,,11221,3,0,3,"1,300","2,127",1927,1,C0,"1,000",04/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1658,74,,C0,757 HANCOCK STREET,,11233,3,0,3,"1,950","2,964",1899,1,C0,"1,600,000",05/19/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1658,76,,C0,753 HANCOCK STREET,,11233,3,0,3,"1,933","2,859",1899,1,C0,"2,600,000",03/31/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1659,20,,C0,460 HANCOCK STREET,,11233,3,0,3,"1,656","3,003",1899,1,C0,"1,900,000",05/26/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1659,49,,C0,425 HALSEY STREET,,11233,3,0,3,"1,783","2,064",1899,1,C0,"1,800,000",06/29/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1660,26,,C0,542A HANCOCK STREET,,11233,3,0,3,"1,667","3,380",1899,1,C0,"1,443,000",12/12/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1660,26,,C0,542A HANCOCK STREET,,11233,3,0,3,"1,667","3,380",1899,1,C0,"2,200,000",10/17/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1660,63,,B1,475 HALSEY STREET,,11233,2,0,2,"1,700","2,788",1899,1,C0,"2,725,000",09/17/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1661,7,,C0,297 STUYVESANT AVENUE,,11233,3,0,3,"1,900","2,280",1899,1,C0,"1,450,000",04/07/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1661,23,,C0,608 HANCOCK STREET,,11233,3,0,3,"1,874","3,310",1899,1,C0,0,03/23/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1661,27,,C0,616 HANCOCK STREET,,11233,3,0,3,"1,857","3,312",1899,1,C0,0,12/17/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1663,16,,C0,738 HANCOCK ST,,11233,3,0,3,"2,200","3,238",1899,1,C0,0,04/11/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1665,43,,C0,556 HALSEY STREET,,11233,3,0,3,"1,580","3,160",1899,1,C0,0,02/20/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1667,47,,C0,621 MACON STREET,,11233,3,0,3,"1,658","2,537",1899,1,C0,"1,885,000",10/01/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1667,52,,C0,611 MACON STREET,,11233,3,0,3,"2,000","2,576",1899,1,C0,"2,500,000",05/22/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1667,68,,C0,583A MACON STREET,,11233,3,0,3,"1,750","3,100",1899,1,C0,0,10/10/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1668,28,,C0,736 HALSEY STREET,,11233,3,0,3,"1,725","2,469",1899,1,C0,0,08/29/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1669,28,,C0,376 MACON STREET,,11233,3,0,3,"2,050","3,692",1910,1,C0,0,03/25/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1669,45,,C0,275 MAC DONOUGH STREET,,11233,3,0,3,"2,000","3,408",1899,1,C0,10,12/30/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1669,63,,C0,239 MACDONOUGH STREET,,11233,3,0,3,"2,000","3,600",1910,1,C0,0,03/13/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1670,69,,C0,319 MAC DONOUGH STREET,,11233,3,0,3,"2,000","3,500",1899,1,C0,"2,100,000",12/01/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1671,76,,C0,383 MACDONOUGH STREET,,11233,3,0,3,"1,917","2,661",1899,1,C0,"2,520,000",01/16/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1672,73,,C0,453 MACDONOUGH STREET,,11233,3,0,3,"1,758","2,571",1899,1,C0,0,02/26/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1674,2,,C0,224 MAC DONOUGH STREET,,11233,3,0,3,"1,758","2,316",1899,1,C0,0,04/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1676,34,,C0,426 MAC DONOUGH STREET,,11233,3,0,3,"2,000","2,832",1910,1,C0,"1,600,000",04/24/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1676,75,,C0,319 DECATUR STREET,,11233,3,0,3,"1,800","3,384",1899,1,C0,"1,850,000",01/28/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1677,10,,C0,450 MAC DONOUGH STREET,,11233,3,0,3,"1,750","2,070",1899,1,C0,0,03/26/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1677,31,,C0,480A MAC DONOUGH STREET,,11233,3,0,3,"1,800","2,332",1899,1,C0,"1,825,000",01/16/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1677,48,,C0,429 DECATUR STREET,,11233,3,0,3,"1,750","2,625",1910,1,C0,"2,525,000",04/23/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1678,8,,C0,510 MAC DONOUGH STREET,,11233,3,0,3,"1,600","3,084",1901,1,C0,"1,600,000",08/27/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1681,72,,C0,173 BAINBRIDGE STREET,,11233,3,0,3,"1,933","3,510",1899,1,C0,0,09/23/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1682,21,,C0,386 DECATUR STREET,,11233,3,0,3,"2,000","3,080",1899,1,C0,0,10/24/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1684,29,,C0,60A BAINBRIDGE STREET,,11233,3,0,3,"1,750","3,164",1901,1,C0,0,09/03/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1684,34,,C0,432 LEWIS AVENUE,,11233,3,0,3,"1,700","3,520",1930,1,C0,0,04/24/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1686,48,,C0,358 MALCOLM X BOULEVARD,,11233,3,0,3,"1,500","3,000",2023,1,C0,"2,450,024",03/26/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1695,20,,C0,108 MARION STREET,,11233,3,0,3,"2,500","3,900",2004,1,C0,"1,403,825",04/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1708,67,,C0,13 HUNTERFLY PLACE,,11233,3,0,3,"1,770","3,213",2022,1,C0,"1,822,256",10/03/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1743,79,,C0,93 STOCKTON STREET,,11206,3,0,3,"1,438","2,985",2007,1,C0,0,01/10/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1754,46,,C0,576 MARCY AVENUE,,11206,3,0,3,"1,425","2,888",1910,1,C0,"2,400,000",03/18/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1756,55,,C0,187 VERNON AVENUE,,11206,3,0,3,"1,875","2,532",1899,1,C0,0,03/05/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1757,69,,C0,221 VERNON AVE,,11206,3,0,3,"2,000","3,000",1901,1,C0,"900,000",03/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1758,73,,C0,475 WILLOUGHBY AVENUE,,11206,3,0,3,"1,875","3,000",1901,1,C0,0,08/01/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1760,3,,C0,145 TOMPKINS AVENUE,,11206,3,0,3,"1,835","3,279",2006,1,C0,0,01/06/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1761,40,,C0,709 WILLOUGHBY AVENUE,,11206,3,0,3,"1,673","2,681",1899,1,C0,0,01/08/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1762,65,,C0,228 SPENCER STREET,,11205,3,0,3,"3,517","7,514",2018,1,C0,0,02/06/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1766,26,,C0,480 WILLOUGHBY AVE,,11206,3,0,3,"2,000","3,600",1901,1,C0,0,06/08/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1766,30,,C0,488 WILLOUGHBY AVENUE,,11206,3,0,3,"2,000","3,600",1899,1,C0,"2,000,000",06/15/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1766,90,,C0,3 HART STREET,,11206,3,0,3,"1,500","2,100",1931,1,C0,0,09/26/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1766,90,,C0,3 HART STREET,,11206,3,0,3,"1,500","2,100",1931,1,C0,0,11/13/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1766,90,,C0,3 HART STREET,,11206,3,0,3,"1,500","2,100",1931,1,C0,0,07/07/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1767,121,,C0,544 WILLOUGHBY AVENUE,,11206,3,0,3,"2,167","3,183",2007,1,C0,"2,600,000",10/09/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1770,39,,C0,60 HART ST,,11206,3,0,3,"1,900","3,040",1910,1,C0,0,05/29/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1770,67,,C0,55 PULASKI ST,,11206,3,0,3,"1,867","2,988",1925,1,C0,0,10/30/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1770,71,,C0,49 PULASKI STREET,,11206,3,0,3,"1,742","1,830",1925,1,C0,0,09/16/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1771,160,,C0,101 PULASKI ST,,11206,3,0,3,"2,000","2,151",2005,1,C0,0,08/31/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1772,75,,C0,155 PULASKI STREET,,11206,3,0,3,"2,000","2,500",1920,1,C0,10,12/11/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1775,127,,C0,112 PULASKI STREET,,11206,3,0,3,"3,217","2,862",2006,1,C0,0,12/24/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,1,1775,127,,C0,112 PULASKI STREET,,11206,3,0,3,"3,217","2,862",2006,1,C0,"2,999,999",08/14/2025
